source_id,publisher,title,source_tier,source_class,frequency,geography_basis,landing_url
CA_HCD_APR_TABLE_A,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table A,1,government administrative data,annual with portal updates,reporting jurisdiction aggregated to county,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
CA_HCD_APR_TABLE_A2,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table A2,1,government administrative data,annual with portal updates,reporting jurisdiction aggregated to county,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
CA_HCD_APR_TABLE_C,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table C,1,government administrative data,annual with portal updates,conditionally reported jurisdiction records aggregated to county,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
CA_HCD_RHNA,California Department of Housing and Community Development,Sixth-Cycle Regional Housing Needs Allocation,1,government planning allocation,planning cycle,jurisdiction allocation aggregated to county,https://www.hcd.ca.gov/rhna
CA_HCD_HOUSING_ELEMENT_COMPLIANCE,California Department of Housing and Community Development,Housing Element Compliance Report,1,government administrative status,current status with portal updates,reporting jurisdiction aggregated to county,https://www.hcd.ca.gov/housing-open-data-tools/housing-element-review-compliance-report
CA_LCI_STATEWIDE_ZONING,California Office of Land Use and Climate Innovation,California Statewide Zoning North,1,government compiled geospatial inventory,irregular,local zoning polygons grouped to county,https://data.ca.gov/dataset/california-statewide-zoning-north
