source_id,publisher,dataset,source_tier,source_class,frequency,geography_basis,landing_url
CA_COURTS_COURT_STATISTICS,Judicial Council of California,Court Statistics Report — Filings and Dispositions,1,government administrative data,annual fiscal year,county superior court,https://courts.ca.gov/policy-administration/research-analytics/data-statistics
CENSUS_ACS5_BULK,U.S. Census Bureau,American Community Survey 5-Year Detailed Tables,1,government survey estimate,annual five-year estimate,household residence,https://www.census.gov/programs-surveys/acs/data.html
HUD_PIT,U.S. Department of Housing and Urban Development,Point-in-Time Estimates by Continuum of Care,1,government administrative count,annual January count,Continuum of Care mapped one-to-one to Bay Area county,https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html
HUD_HIC,U.S. Department of Housing and Urban Development,Housing Inventory Count by Continuum of Care,1,government administrative inventory,annual January inventory,Continuum of Care mapped one-to-one to Bay Area county,https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html
HUD_PICTURE,U.S. Department of Housing and Urban Development,Picture of Subsidized Households — County Summary,1,government administrative inventory,annual,county program administration,https://www.huduser.gov/portal/datasets/assthsg.html
HUD_FMR,U.S. Department of Housing and Urban Development,"FY 2026 Fair Market Rents, Revised",1,government modeled rent standard,federal fiscal year,HUD FMR area assigned to county,https://www.huduser.gov/portal/datasets/fmr.html
CA_HCD_APR,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table A2,1,government administrative data,annual with portal updates,reporting jurisdiction aggregated to county,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
CA_HCD_RHNA,California Department of Housing and Community Development,Sixth-Cycle Regional Housing Needs Allocation,1,government planning allocation,planning cycle,jurisdiction allocation aggregated to county,https://www.hcd.ca.gov/rhna
