measureKey,metricName,countyFips,countyName,value,unit,period,periodEnd,marginOfError90,derivation,formula,sourceIds
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06081,San Mateo,48.40015200456014,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06085,Santa Clara,45.03393530183819,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06095,Solano,60.19184219083059,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06097,Sonoma,54.80410655652458,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06001,Alameda,23.274168976340373,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06013,Contra Costa,27.096648216713103,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06041,Marin,10.972796050866556,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06055,Napa,13.915601312365652,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06075,San Francisco,12.46861549497848,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06081,San Mateo,14.48511739693104,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06085,Santa Clara,13.853710558967995,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06095,Solano,32.74567987432361,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",06097,Sonoma,12.317904706356149,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000","['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06001,Alameda,9262.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06013,Contra Costa,2118.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06041,Marin,1081.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06055,Napa,374.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06075,San Francisco,8671.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06081,San Mateo,2147.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06085,Santa Clara,10711.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06095,Solano,1664.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,06097,Sonoma,1952.0,people,2025,2025-01-31,,published,published,['HUD_PIT']
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06001,Alameda,58.003949175824175,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06013,Contra Costa,53.24433379120879,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06041,Marin,48.762486126526085,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06055,Napa,40.911764705882355,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06075,San Francisco,59.16134850166481,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06081,San Mateo,51.26179245283019,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06085,Santa Clara,55.46798736721217,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06095,Solano,58.76606978879706,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,06097,Sonoma,46.0399717014503,percent,FY2026,2026-09-30,,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,"['CENSUS_ACS5_BULK', 'HUD_FMR']"
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06001,Alameda,4851.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06013,Contra Costa,2518.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06041,Marin,533.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
production.production_pipeline.completed_units,Completed units / certificates of occupancy,06055,Napa,475.0,housing units,2025,2025-12-31,,aggregated,county sum of HCD APR Table A2 reported units,['CA_HCD_APR_TABLE_A2']
