countyFips,countyName,section,measureKey,metricName,value,unit,period,periodEnd,marginOfError90,derivation,sourceIds
06001,Alameda,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",23.274168976340373,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06013,Contra Costa,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",27.096648216713103,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06041,Marin,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",10.972796050866556,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06055,Napa,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",13.915601312365652,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06075,San Francisco,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",12.46861549497848,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06081,San Mateo,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",14.48511739693104,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06085,Santa Clara,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",13.853710558967995,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06095,Solano,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",32.74567987432361,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06097,Sonoma,Access,access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households",12.317904706356149,"filings per 1,000 renter households",FY2023-24,2024-06-30,,derived,"['CA_COURTS_COURT_STATISTICS', 'CENSUS_ACS5_BULK']"
06001,Alameda,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,26.217597509403,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06013,Contra Costa,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,28.12338964776394,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06041,Marin,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,31.18220632356335,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06055,Napa,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,26.630497518180768,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06075,San Francisco,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,19.7707963405711,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06081,San Mateo,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,24.94679840395212,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06085,Santa Clara,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,21.00339002084547,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06095,Solano,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,30.942230571913726,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06097,Sonoma,Access,access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,26.300384803957982,percent,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06001,Alameda,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,9262.0,people,2025,2025-01-31,,published,['HUD_PIT']
06013,Contra Costa,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,2118.0,people,2025,2025-01-31,,published,['HUD_PIT']
06041,Marin,Access,access.homelessness.pit_overall_homeless,PIT overall homelessness estimate,1081.0,people,2025,2025-01-31,,published,['HUD_PIT']
