county_fips,county_name,jurisdictions,planning_period,rhna_vli,rhna_li,rhna_mod,rhna_above_mod,rhna_total,permitted_2023_2025,progress_pct,source_target,source_progress,apr_modified,rhna_modified
06001,Alameda,15,01/31/2023 - 01/31/2031,23606.0,13591.0,14438.0,37362.0,88997.0,14705.0,16.523028866141555,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
06013,Contra Costa,20,01/31/2023 - 01/31/2031,13346.0,7685.0,7807.0,20205.0,49043.0,8338.0,17.001406928613665,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
06041,Marin,12,01/31/2023 - 01/31/2031,4171.0,2400.0,2182.0,5652.0,14405.0,1448.0,10.05206525511975,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
06055,Napa,6,01/31/2023 - 01/31/2031,1138.0,658.0,571.0,1477.0,3844.0,1541.0,40.08844953173777,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
06075,San Francisco,1,01/31/2023 - 01/31/2031,20867.0,12014.0,13717.0,35471.0,82069.0,6086.0,7.415711169869256,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
06081,San Mateo,21,01/31/2023 - 01/31/2031,12196.0,7023.0,7937.0,20531.0,47687.0,9556.0,20.03900434080567,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
06085,Santa Clara,16,01/31/2023 - 01/31/2031,32316.0,18607.0,21926.0,56728.0,129577.0,20489.0,15.812219761223057,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
06095,Solano,8,01/31/2023 - 01/31/2031,2803.0,1612.0,1832.0,4745.0,10992.0,4831.0,43.95014556040756,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
06097,Sonoma,10,01/31/2023 - 01/31/2031,3999.0,2302.0,2302.0,5959.0,14562.0,7306.0,50.17167971432496,CA_HCD_RHNA,CA_HCD_APR,2026-08-07T15:48:52.326024,2026-08-07T15:48:50.721005
