county_fips,county_code_cde,county_name,region_member
06001,01,Alameda,1
06013,07,Contra Costa,1
06041,21,Marin,1
06055,28,Napa,1
06075,38,San Francisco,1
06081,41,San Mateo,1
06085,43,Santa Clara,1
06095,48,Solano,1
06097,49,Sonoma,1
