source_id,publisher,dataset,source_tier,source_class,frequency,latest_period_end,retrieved_at,snapshot_count,status,landing_url
CA_COURTS_COURT_STATISTICS,Judicial Council of California,Court Statistics Report — Filings and Dispositions,1,government administrative data,annual fiscal year,2024-06-30,2026-08-08T22:49:09Z,1,current for documented release cycle,https://courts.ca.gov/policy-administration/research-analytics/data-statistics
CENSUS_ACS5_BULK,U.S. Census Bureau,American Community Survey 5-Year Detailed Tables,1,government survey estimate,annual five-year estimate,2026-09-30,2026-08-08T22:49:09Z,36,current for documented release cycle,https://www.census.gov/programs-surveys/acs/data.html
HUD_PIT,U.S. Department of Housing and Urban Development,Point-in-Time Estimates by Continuum of Care,1,government administrative count,annual January count,2025-01-31,2026-08-08T22:54:43Z,1,current for documented release cycle,https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html
HUD_HIC,U.S. Department of Housing and Urban Development,Housing Inventory Count by Continuum of Care,1,government administrative inventory,annual January inventory,2025-01-31,2026-08-08T22:54:43Z,1,current for documented release cycle,https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html
HUD_PICTURE,U.S. Department of Housing and Urban Development,Picture of Subsidized Households — County Summary,1,government administrative inventory,annual,2025-12-31,2026-08-08T22:54:43Z,4,current for documented release cycle,https://www.huduser.gov/portal/datasets/assthsg.html
HUD_FMR,U.S. Department of Housing and Urban Development,"FY 2026 Fair Market Rents, Revised",1,government modeled rent standard,federal fiscal year,2026-09-30,2026-08-08T22:54:43Z,1,current for documented release cycle,https://www.huduser.gov/portal/datasets/fmr.html
CA_HCD_APR,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table A2,1,government administrative data,annual with portal updates,2025-12-31,2026-08-08T18:25:52Z,3,current for documented release cycle,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
CA_HCD_RHNA,California Department of Housing and Community Development,Sixth-Cycle Regional Housing Needs Allocation,1,government planning allocation,planning cycle,2031-01-31,2026-08-08T18:25:52Z,2,current for documented release cycle,https://www.hcd.ca.gov/rhna
