domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,margin_of_error,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,comparability_status
displacement_pressure,renter_overcrowding_pct,Renter households with more than one occupant per room,06055,Napa,2024,2024-12-31,annual five-year estimate,10.07249560632689,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.00 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_overcrowding_pct,Renter households with more than one occupant per room,06075,San Francisco,2024,2024-12-31,annual five-year estimate,7.3499530929737285,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.00 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_overcrowding_pct,Renter households with more than one occupant per room,06081,San Mateo,2024,2024-12-31,annual five-year estimate,13.19618985174662,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.00 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_overcrowding_pct,Renter households with more than one occupant per room,06085,Santa Clara,2024,2024-12-31,annual five-year estimate,12.312039594066292,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.00 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_overcrowding_pct,Renter households with more than one occupant per room,06095,Solano,2024,2024-12-31,annual five-year estimate,9.849096121821834,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.00 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_overcrowding_pct,Renter households with more than one occupant per room,06097,Sonoma,2024,2024-12-31,annual five-year estimate,9.065826330532213,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.00 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06001,Alameda,2024,2024-12-31,annual five-year estimate,26.217597509403,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06013,Contra Costa,2024,2024-12-31,annual five-year estimate,28.12338964776394,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06041,Marin,2024,2024-12-31,annual five-year estimate,31.18220632356335,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,06055,Napa,2024,2024-12-31,annual five-year estimate,26.630497518180768,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25070,2026-08-08T18:25:52Z,14218adb7b94e91209d00aad85f0283f53c607f70654d062764a4e3fe4e4cf4c,B25070 50%+ category divided by computed cases,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
