source_id,source_url,source_release,retrieved_at,snapshot_sha256,upstream_sha256,byte_count,upstream_byte_count,snapshot_kind,raw_path,metadata_path,row_count
CA_HCD_APR_TABLE_A2,https://data.ca.gov/dataset/81b0841f-2802-403e-b48e-2ef4b751f77c/resource/fe505d9b-8c36-42ba-ba30-08bc4f34e022/download/tablea2.csv,HCD-APR-TABLE-A2-2020-portal-current,2026-08-10T17:11:13Z,dd5239737a286de14f0cb94cb934e788a2734baa54fafb493cc326ab118f98e2,1e5d655d85e575bc7d873548e5201708e93b255191c38fa5bf96abf5c9bd2286,4823614,292329960,source_slice,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2020-bay-counties.csv,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2020-bay-counties.csv.metadata.json,15626
CA_HCD_APR_TABLE_A2,https://data.ca.gov/dataset/81b0841f-2802-403e-b48e-2ef4b751f77c/resource/fe505d9b-8c36-42ba-ba30-08bc4f34e022/download/tablea2.csv,HCD-APR-TABLE-A2-2021-portal-current,2026-08-10T17:11:13Z,5a78db14b37ff087cca9b8e7ae1d939130ba7789dbd8be26558670e88d809950,1e5d655d85e575bc7d873548e5201708e93b255191c38fa5bf96abf5c9bd2286,5490600,292329960,source_slice,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2021-bay-counties.csv,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2021-bay-counties.csv.metadata.json,17660
CA_HCD_APR_TABLE_A2,https://data.ca.gov/dataset/81b0841f-2802-403e-b48e-2ef4b751f77c/resource/fe505d9b-8c36-42ba-ba30-08bc4f34e022/download/tablea2.csv,HCD-APR-TABLE-A2-2022-portal-current,2026-08-10T17:11:13Z,60556989c07686cc4af51409c4e0761edc273bafa18a65e6a0c4fdc3ac96c4cc,1e5d655d85e575bc7d873548e5201708e93b255191c38fa5bf96abf5c9bd2286,5603374,292329960,source_slice,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2022-bay-counties.csv,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2022-bay-counties.csv.metadata.json,17491
CA_HCD_APR_TABLE_A2,https://data.ca.gov/dataset/81b0841f-2802-403e-b48e-2ef4b751f77c/resource/fe505d9b-8c36-42ba-ba30-08bc4f34e022/download/tablea2.csv,HCD-APR-TABLE-A2-2023-portal-current,2026-08-10T17:11:13Z,d5a42e856f7a486094b1a52da7413fa582d45472ab18a6ae572bba1930a8069c,1e5d655d85e575bc7d873548e5201708e93b255191c38fa5bf96abf5c9bd2286,5498734,292329960,source_slice,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2023-bay-counties.csv,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2023-bay-counties.csv.metadata.json,16470
CA_HCD_APR_TABLE_A2,https://data.ca.gov/dataset/81b0841f-2802-403e-b48e-2ef4b751f77c/resource/fe505d9b-8c36-42ba-ba30-08bc4f34e022/download/tablea2.csv,HCD-APR-TABLE-A2-2024-portal-current,2026-08-10T17:11:13Z,efedc570ed4198bb4143b012c1926c817a047bd23278b2b2b19270889b52d13b,1e5d655d85e575bc7d873548e5201708e93b255191c38fa5bf96abf5c9bd2286,5642292,292329960,source_slice,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2024-bay-counties.csv,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2024-bay-counties.csv.metadata.json,16990
CA_HCD_APR_TABLE_A2,https://data.ca.gov/dataset/81b0841f-2802-403e-b48e-2ef4b751f77c/resource/fe505d9b-8c36-42ba-ba30-08bc4f34e022/download/tablea2.csv,HCD-APR-TABLE-A2-2025-portal-current,2026-08-10T17:11:13Z,e5e85e9677a374bd30beeeb7848a802f790f9425b78fe84c0ef8096e2394b297,1e5d655d85e575bc7d873548e5201708e93b255191c38fa5bf96abf5c9bd2286,5815666,292329960,source_slice,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2025-bay-counties.csv,data/phase14/production/raw/CA_HCD_APR_TABLE_A2/2026-08-10/table-a2-2025-bay-counties.csv.metadata.json,17364
CA_HCD_APR_TABLE_C,https://data.ca.gov/dataset/81b0841f-2802-403e-b48e-2ef4b751f77c/resource/a07dcd90-56bd-4a5e-9ce6-809e1f3fc121/download/tablec.csv,HCD-APR-TABLE-C-portal-current,2026-08-10T17:11:13Z,c09281d5e563a43685f6d665e807001f4d32a8eb4b47ced00e83f3e066d8ba26,65e741455296151ac0c7e4585451097ca1f4abbce00d68697abbf900fba6720a,9488620,32631058,source_slice,data/phase14/production/raw/CA_HCD_APR_TABLE_C/2026-08-10/tablec-2018-2025-bay-counties.csv,data/phase14/production/raw/CA_HCD_APR_TABLE_C/2026-08-10/tablec-2018-2025-bay-counties.csv.metadata.json,49884
CA_HCD_HOUSING_ELEMENT_COMPLIANCE,https://data.ca.gov/dataset/55537b9f-0c54-456d-b76a-90c157718975/resource/2dcd1cd4-1348-4fc5-9c9c-219f82daac00/download/housing_element.csv,HCD-housing-element-compliance-2026-08-10,2026-08-10T17:11:13Z,7086fb1e283e04d591126b6aa8cdb78646fb3839e9ac5978f4c3284d2a2c14c0,8d8227d476f23fc61e847f1645246351d674f40dc95c61b6a806f0c021f630a5,14164,73270,source_slice,data/phase14/production/raw/CA_HCD_HOUSING_ELEMENT_COMPLIANCE/2026-08-10/housing-element-compliance-bay-counties.csv,data/phase14/production/raw/CA_HCD_HOUSING_ELEMENT_COMPLIANCE/2026-08-10/housing-element-compliance-bay-counties.csv.metadata.json,109
CA_HCD_RHNA,https://data.ca.gov/api/3/action/package_show?id=rhna-progress-report,HCD-RHNA-package-metadata,2026-08-08T18:25:52Z,0e9ecad539daa8ffa467b43016b48304b55517a8dd2800bd1bf5c590a387217a,0e9ecad539daa8ffa467b43016b48304b55517a8dd2800bd1bf5c590a387217a,7359,7359,complete_official_response,data/phase14/production/raw/CA_HCD_RHNA/2026-08-08/rhna-package-metadata.json,data/phase14/production/raw/CA_HCD_RHNA/2026-08-08/rhna-package-metadata.json.metadata.json,1
CA_HCD_RHNA,https://data.ca.gov/api/3/action/datastore_search?resource_id=1e80a9cf-724c-432d-8374-e9708a6a92dc&limit=1000,HCD-RHNA-sixth-cycle,2026-08-08T18:25:52Z,cb793563be4b5d4b33af4b54191222fe9fbc38ff846a49923d9f423bd1851fc9,cb793563be4b5d4b33af4b54191222fe9fbc38ff846a49923d9f423bd1851fc9,161557,161557,complete_official_response,data/phase14/production/raw/CA_HCD_RHNA/2026-08-08/sixth-cycle-rhna-progress.json,data/phase14/production/raw/CA_HCD_RHNA/2026-08-08/sixth-cycle-rhna-progress.json.metadata.json,1
CA_LCI_STATEWIDE_ZONING,https://services8.arcgis.com/Xr1lDrwMv89PhjD9/arcgis/rest/services/California_Statewide_Zoning_North/FeatureServer/1/query?where=County+IN+%28%27ALA%27%2C%27CCO%27%2C%27MRN%27%2C%27NAP%27%2C%27SFR%27%2C%27SMA%27%2C%27SCL%27%2C%27SOL%27%2C%27SON%27%29&outStatistics=%5B%7B%22statisticType%22%3A%22count%22%2C%22onStatisticField%22%3A%22OBJECTID%22%2C%22outStatisticFieldName%22%3A%22feature_count%22%7D%2C%7B%22statisticType%22%3A%22sum%22%2C%22onStatisticField%22%3A%22Shape__Area%22%2C%22outStatisticFieldName%22%3A%22area_sum%22%7D%5D&groupByFieldsForStatistics=County%2CNew_Class%2CDate&orderByFields=County%2CNew_Class%2CDate&returnGeometry=false&f=json,California-Statewide-Zoning-North-v2024-12-19,2026-08-10T17:11:13Z,fae60397b9b7a6dcf51132defc0aaa06561f0bdd85eabbe225122d97547daa7a,7ab8c77bdf711d15d25207d689cca9d0e02175f50f9cc70c46613ae2b8135a90,63960,50430,official_query_aggregate,data/phase14/production/raw/CA_LCI_STATEWIDE_ZONING/2026-08-10/zoning-bay-county-class-date.json,data/phase14/production/raw/CA_LCI_STATEWIDE_ZONING/2026-08-10/zoning-bay-county-class-date.json.metadata.json,397
