completed_2023_2025,completion_gap_units,completion_progress_pct,completion_to_permit_flow_pct,county_fips,county_name,permit_gap_units,permit_progress_pct,permitted_2023_2025,planning_period,rhna_allocation
15770.0,73227.0,17.71969841680057,107.24243454607276,06001,Alameda,74292.0,16.523028866141555,14705.0,01/31/2023 - 01/31/2031,88997.0
7128.0,41915.0,14.53418428725812,85.4881266490765,06013,Contra Costa,40705.0,17.001406928613665,8338.0,01/31/2023 - 01/31/2031,49043.0
1288.0,13117.0,8.941339812565081,88.95027624309392,06041,Marin,12957.0,10.05206525511975,1448.0,01/31/2023 - 01/31/2031,14405.0
1180.0,2664.0,30.697190426638915,76.57365347177158,06055,Napa,2303.0,40.08844953173777,1541.0,01/31/2023 - 01/31/2031,3844.0
7197.0,74872.0,8.769450096869708,118.25501150180742,06075,San Francisco,75983.0,7.415711169869256,6086.0,01/31/2023 - 01/31/2031,82069.0
5704.0,41983.0,11.961331180405562,59.69024696525743,06081,San Mateo,38131.0,20.03900434080567,9556.0,01/31/2023 - 01/31/2031,47687.0
18573.0,111004.0,14.333562283429929,90.64864073405242,06085,Santa Clara,109088.0,15.812219761223057,20489.0,01/31/2023 - 01/31/2031,129577.0
3334.0,7658.0,30.331149927219798,69.01262678534465,06095,Solano,6161.0,43.95014556040756,4831.0,01/31/2023 - 01/31/2031,10992.0
4881.0,9681.0,33.51874742480428,66.80810292909936,06097,Sonoma,7256.0,50.17167971432496,7306.0,01/31/2023 - 01/31/2031,14562.0
