dataset,frequency,landing_url,latest_period_end,publisher,retrieved_at,snapshot_count,source_class,source_id,source_tier,status
Housing Element Annual Progress Report — Table A,annual with portal updates,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard,2025-12-31,California Department of Housing and Community Development,2026-08-10T17:11:13Z,8,government administrative data,CA_HCD_APR_TABLE_A,1,current for documented release or source vintage
Housing Element Annual Progress Report — Table A2,annual with portal updates,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard,2025-12-31,California Department of Housing and Community Development,2026-08-10T17:11:13Z,8,government administrative data,CA_HCD_APR_TABLE_A2,1,current for documented release or source vintage
Housing Element Annual Progress Report — Table C,annual with portal updates,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard,2025-12-31,California Department of Housing and Community Development,2026-08-10T17:11:13Z,1,government administrative data,CA_HCD_APR_TABLE_C,1,current for documented release or source vintage
Sixth-Cycle Regional Housing Needs Allocation,planning cycle,https://www.hcd.ca.gov/rhna,2025-12-31,California Department of Housing and Community Development,2026-08-08T18:25:52Z,2,government planning allocation,CA_HCD_RHNA,1,current for documented release or source vintage
Housing Element Compliance Report,current status with portal updates,https://www.hcd.ca.gov/housing-open-data-tools/housing-element-review-compliance-report,2026-08-10,California Department of Housing and Community Development,2026-08-10T17:11:13Z,1,government administrative status,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,1,current for documented release or source vintage
California Statewide Zoning North,irregular,https://data.ca.gov/dataset/california-statewide-zoning-north,2024-12-19,California Office of Land Use and Climate Innovation,2026-08-10T17:11:13Z,1,government compiled geospatial inventory,CA_LCI_STATEWIDE_ZONING,1,current for documented release or source vintage
