application_to_completion_samples,application_to_entitlement_samples,county_fips,county_name,eligible_application_projects,entitlement_to_permit_samples,exact_apn_matches,exact_tracking_id_matches,match_rate_pct,matched_projects,permit_to_completion_samples
1757,4315,06001,Alameda,7451,1352,1290,4707,80.48584082673467,5997,1674
969,2526,06013,Contra Costa,4207,867,752,2516,77.68005704777752,3268,891
697,877,06041,Marin,2544,485,318,1443,69.22169811320755,1761,636
161,159,06055,Napa,739,92,116,310,57.64546684709067,426,151
712,500,06075,San Francisco,3107,2,1140,491,52.49436755712906,1631,701
809,1531,06081,San Mateo,4128,888,741,1861,63.03294573643411,2602,660
2371,2752,06085,Santa Clara,9730,1181,1630,4874,66.8448098663926,6504,2062
2027,1404,06095,Solano,3448,998,242,2715,85.75986078886311,2957,1929
2044,430,06097,Sonoma,5187,149,152,3516,70.71524966261808,3668,1893
